image,kind,structure,concentration
00029f8d-8296-4f74-bc69-626edb7ca99e,MCF-7,NC(=O)NO,1.0
000cbabb-bb59-47af-a12c-c58b45d8661f,MCF-7,Oc1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,0.2
001c2dae-c795-4310-9463-776f53e2739c,MCF-7,N[Pt](N)(Cl)Cl,30.0
00277c07-2b8b-4d29-afa6-f301288bf6dc,MCF-7,[Na+].[F-],15.0
002ae885-d9f7-410f-a4f1-118b8ac26433,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
003437f4-1748-4faf-be7a-afa9d840f4bd,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
003a55bf-34f4-40b8-a965-00e991164e2e,MCF-7,CS(=O)C,0.0
00448ad3-a232-46ab-a4c2-5134d8a9b635,MCF-7,CS(=O)C,0.0
005923a9-4389-4147-b721-d9c7d6df6a08,MCF-7,OC(=O)C(=S)Cc1ccc(I)cc1,0.15
005e266b-0e73-4533-9fc3-ceeddf6a6da6,MCF-7,CN(CCOc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12)C(=O)CO,3.0
007635d8-c4e8-446e-ae75-ade0d52381bf,MCF-7,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,0.01
007649e3-975d-4430-a6b1-7f5736881ff3,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
00776ba4-a602-4502-8348-fdf3754a908f,MCF-7,COc1cc(OC[C@H]2CCCN2)c3c(Nc4cnn(CC(=O)Nc5cccc(F)c5F)c4)ncnc3c1,3.0
007bb6bb-9c19-4019-9019-b1344b32fd6f,MCF-7,CS(=O)C,0.0
007cb6cf-774c-41e3-8ca6-0934d63f1f1c,MCF-7,NC1=NC(=O)c2ncn(COCCO)c2N1,1.5
009524f8-5d28-403b-8ce8-771dfa2fa54f,MCF-7,CN(C)c1ncnc2c1ncn2C3OC(CO)C(N)C3O,3.0
00b3385e-18f7-42fd-9d7e-2e77e6485129,MCF-7,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.003
00c1e83a-3ab3-404a-894f-9ee6bcb06b04,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
00c5e6a6-30ff-4437-a075-808eefcd737c,MCF-7,CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,0.3
00d79a25-2fe8-4e86-a4a1-cd643ac8fb29,MCF-7,CC1CNCCN1S(=O)(=O)c2cccc3cnccc23,0.15
00e57627-b89a-4fef-a1e5-2b7ac915c4fa,MCF-7,Oc1ccc(cc1)c2sc3cc(O)ccc3c2C(=O)c4ccc(OCCN5CCCCC5)cc4,0.5
00e956b7-995b-41e6-b7eb-f847b857d924,MCF-7,COc1ccc(C[C@H]2NC[C@H](O)[C@H]2OC(=O)C)cc1,0.3
00e9d966-e495-4c3a-9538-5beb49f4f1fb,MCF-7,C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2,10.0
00f54c7a-be61-4ac2-b944-51f9ae89d5e8,MCF-7,C[C@H]1CCC[C@@]2(C)O[C@H]2C[C@H](OC(=O)C[C@H](O)C(C)(C)C(=O)[C@H](C)[C@H]1O)\\C(=C\\c3csc(C)n3)\\C,0.003
00f76045-1458-4a2c-ae3b-0039150b7591,MCF-7,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,0.1
00f933e6-26ac-4bd5-81a2-b204d9cbe5e7,MCF-7,N[Pt](N)(Cl)Cl,0.03
01070748-90ca-41fa-921f-26fb6fef5f9d,MCF-7,CS(=O)c1ccc(cc1)c2nc(c3ccc(F)cc3)c([nH]2)c4ccncc4,0.1
012943fa-ff96-4078-b775-ebd7fdb4fb67,MCF-7,CS(=O)C,0.0
013e0636-6395-43c7-b442-a5b55e4a59a7,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
01537f8b-1978-420a-a18c-594c893496ac,MCF-7,COc1cc(cc(OC)c1OC)[C@H]2[C@H]3[C@H](COC3=O)[C@@H](O)c4cc5OCOc5cc24,0.01
015c6d59-c48b-41d4-83b5-51e8a0f1aca8,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
0164d8e2-8bc7-4dd5-8c33-a86133232d97,MCF-7,OC(=O)C(=S)Cc1ccc(I)cc1,0.15
016e1fb4-1c8d-4998-948d-9c0bd4710db0,MCF-7,CC(C)n1c(C)ncc1c2ccnc(Nc3ccc(cc3)S(=O)(=O)C)n2,0.01
0173944a-2286-41d3-ab83-3823783130b9,MCF-7,ONc1c([nH]c2ccccc12)C3=C4C=CC=CC4=NC3=O,10.0
01769a37-9dce-4c45-8af2-296f4ed6832a,MCF-7,CCCCC1C(=Nc2nccnc12)c3ccc(O)cc3,0.3
017b69be-fa00-4bd3-b866-f4af31d18cb2,MCF-7,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,0.1
0187e545-242c-4622-922b-5e480265a9d4,MCF-7,CC[C@@H](N(CCCN)C(=O)c1ccc(C)cc1)C2=Nc3ccsc3C(=O)N2Cc4ccccc4,1.0
018fbbe7-7f8e-43ce-a667-5dbef5254b94,MCF-7,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,0.3
01918cd9-a554-41b4-8b1c-3b1d19b78026,MCF-7,C[C@@H](C[C@H](O)[C@H]1O[C@@H]2CC[C@@]3(CC[C@@H](O3)\\C=C\\[C@@H](C)[C@@H]4CC(=C[C@@]5(O[C@H](C[C@@](C)(O)C(=O)O)CC[C@H]5O)O4)C)O[C@H]2[C@H](O)C1=C)[C@H]6O[C@@]7(CCCCO7)CC[C@H]6C,0.0002
01966b33-e509-483a-962d-3029d948ee65,MCF-7,C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]3CSC(=O)N3)OC(=O)\\C=C(\\C)/CC\\C=C/1,3.0
019a7910-1db3-49a5-9514-ee486348d1e9,MCF-7,COc1cc2ncnc(Nc3cccc(Cl)c3)c2cc1OC,6.0
01a9d2bd-3ede-464d-ba4a-1364ab836828,MCF-7,ClCCN(CCCl)P1(=O)NCCCO1,0.015
01b570d1-f7bc-449b-bd1f-4c7c72a3a9f8,MCF-7,C[C@H]1CC[C@@H]2C[C@H](C[C@@](O)(O2)[C@@H]3CSC(=O)N3)OC(=O)\\C=C(\\C)/CC\\C=C/1,3.0
01b99770-fac7-4b12-b305-479ba6972a02,MCF-7,CS(=O)C,0.0
01d4d155-deb2-4cb1-ba1a-a312befbfc1a,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
01db8c24-76b0-439a-a6a3-b217fd66f308,MCF-7,CS(=O)C,0.0
01e695ac-6c6c-41a5-ab02-0dc54b6537c1,MCF-7,CS(=O)C,0.0
01f2ca0c-cd5b-44ec-b3f8-0162f4d0e958,MCF-7,C[C@H]1CCC\\C=C\\C2C[C@H](O)C[C@H]2[C@H](O)\\C=C\\C(=O)O1,1.0
0212108a-df45-4a8a-91cc-a1bb4a2fcbff,MCF-7,CN1C2CCC1CC(C2)OC(=O)C(CO)c3ccccc3,0.0015
02193c84-ae70-45d3-acb8-3d15e72aa14a,MCF-7,CS(=O)C,0.0
021dd92a-9d06-4248-9027-8e44cb8b477a,MCF-7,CCCCC[C@@H](O)[C@@H]1[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@@H](O)C[C@H](O)\\C(=C\\C=C\\C=C\\C=C\\C=C\\[C@H](O)[C@@H](C)OC1=O)\\C,0.1
021f78d0-d141-411b-982a-92ad08e0d531,MCF-7,COc1cc(cc(OC)c1O)[C@H]2[C@@H]3C(COC3=O)[C@H](O[C@@H]4O[C@@H]5CO[C@@H](C)O[C@H]5[C@H](O)[C@H]4O)c6cc7OCOc7cc26,3.0
022bea85-0fbd-48ca-8824-069dff1de5ee,MCF-7,CS(=O)C,0.0
023c5047-2d1b-40e6-9e44-19d0c3d8fd38,MCF-7,CCCCC1C(=Nc2nccnc12)c3ccc(O)cc3,30.0
0243cb02-7d84-4b0b-8133-a967081a1111,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
0245fe2f-1bfb-48ec-a545-85665ced281c,MCF-7,CS(=O)C,0.0
025352cc-8379-4dfb-8c0a-7d58e1040237,MCF-7,O=C(CNC(=O)C(Cc1ccccc1)NC(=O)OCc2ccccc2)NOC(=O)c3ccccc3,0.03
0256b82e-5d22-4e32-a1cf-f73a16a04fc4,MCF-7,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,3.0
027c1301-4e64-425d-91ad-ba552afc5028,MCF-7,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C=O)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1,3.0
02903f96-9a4a-4822-90cd-aa818051deff,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
029150c5-6b18-4946-9750-b2a47ed35c93,MCF-7,CN1N=Nc2c(ncn2C1=O)C(=O)N,0.006
029cede5-a3c7-411a-b750-4ad27adcf8ec,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
02c26b03-ec8e-4eec-a1e0-02ed74fbfeaf,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
02d74e8b-6f65-47c7-8efa-4334d8165883,MCF-7,CC(=O)O[C@H]1[C@@H](O)[C@H]2C(C)(C)CC[C@H](O)[C@]2(C)[C@@]3(O)C(=O)C[C@@](C)(O[C@]13C)C=C,0.3
02d8a1d5-d4ba-45e8-a928-443b264d7ae8,MCF-7,CS(=O)C,0.0
02e5e1f2-359b-4438-98a6-5198745b6182,MCF-7,OCC1OC(CC1O)N2C=C(F)C(=O)NC2=O,0.3
02eb6fbd-0483-40bf-a3ab-8e004c48e938,MCF-7,OC1=C(Oc2cc(O)cc(O)c2C1=O)c3ccc(O)c(O)c3,1.0
02f42b1b-594f-4beb-83cf-037c0148f163,MCF-7,CO[C@@H]1C[C@H](C[C@@H](C)[C@@H]2CC(=O)[C@H](C)\\C=C(/C)\\[C@@H](O)[C@@H](OC)C(=O)[C@H](C)C[C@H](C)\\C=C\\C=C\\C=C(/C)\\[C@H](C[C@@H]3CC[C@@H](C)[C@@](O)(O3)C(=O)C(=O)N4CCCC[C@H]4C(=O)O2)OC)CC[C@H]1O,3.0
030fd0a6-c27c-4208-b38b-c437260415e8,MCF-7,COC(=O)Nc1nc2cc(ccc2[nH]1)C(=O)c3cccs3,0.01
031f006c-9d1b-4747-8e94-a527d430fd14,MCF-7,CC(C)n1cnc2c(NCc3ccccc3)nc(NCCCO)nc12,0.06
032a49ed-6897-4ce7-bc25-cf4d81590ec8,MCF-7,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@]3(C)[C@@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)OC(C)(C)C)c6ccccc6)C(=C([C@@H](O)C3=O)C5(C)C)C,1.0
03314cde-67de-4e85-beb2-a70aa65fa360,MCF-7,CC1(CO)C(O)CCC2(C)C1CCC3CC4CC23CCC4(O)CO,0.3
03435fe3-13ed-4268-85a7-c681cc6d1a2f,MCF-7,Nc1ccc(cc1N)c2ccc(N)c(N)c2,1.0
034f4638-154c-475c-a336-e58693a54ed9,MCF-7,Nc1ccc(cc1N)c2ccc(N)c(N)c2,0.1
0356d3c1-ab23-44c0-9fc1-2d91bf7e6545,MCF-7,CC(=O)O[C@H]1C(=O)[C@]2(C)[C@@H](O)C[C@H]3OC[C@@]3(OC(=O)C)[C@H]2[C@H](OC(=O)c4ccccc4)[C@]5(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c6ccccc6)c7ccccc7)C(=C1C5(C)C)C,0.3
0364b932-2f06-465c-b0e8-cb88fc184724,MCF-7,CC1CNCCN1S(=O)(=O)c2cccc3cnccc23,0.05
037762f3-29f5-4376-b43d-d917293681b4,MCF-7,NC(=O)NO,0.3
038f6331-fcd5-4c41-911e-51acd03c5e26,MCF-7,C[C@@H](N)[C@@H]1CC[C@H](CC1)C(=O)Nc2ccncc2,3.0
039173b7-b7d0-4599-b801-200d45f757b0,MCF-7,ONc1c([nH]c2ccccc12)C3=C4C=CC=CC4=NC3=O,0.1
